Companies in Basic Board;;;;;;;
;; ;;;;;
1.05.2026;;;;;;;
;;;;;;;
;;;;;;;
Number of instruments: ;61;; ;;;;
Number of companies: ;59;;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index
NL0010872388;3SQ1;A.H.T. SYNGAS TECHNOLOGY N.V.;Utilities;Multi-Utilities;Netherlands;XETRA + FRANKFURT;-
DE000A0LBKW6;CFC;aconnic AG;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT;-
DE0005214506;ADC;ADCAPITAL AG;Automobile;Auto Parts & Equipment;Germany;FRANKFURT;-
DE0007269003;OEL;ADM HAMBURG AG  O.N.;Food & Beverages;Food;Germany;FRANKFURT;-
DE000A40ZUV2;VG80;Ascory BANK AG;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT;-
DE000A40ET13;3ITN;AUDIUS SE;Software;IT-Services;Germany;XETRA + FRANKFURT;-
DE0005221303;BFV;BERL.EFFEKTENGES.AG O.N.;Financial Services;Diversified Financial;Germany;FRANKFURT;-
DE000A0NK3W4;SPT6;Beta Systems Software AG;Software;Software;Germany;FRANKFURT;-
DE000A3H2135;MA1;Binect AG;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT;-
DE000A41YD32;T5O;bioXXmed AG;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT;-
DE000A1TNMM9;CTNK;CENTROTHERM INTERNATIONAL AG;Industrial;Renewable Energies;Germany;FRANKFURT;-
DE0005407407;CEK;CEOTRONICS AG O.N.;Technology;Communications Technology;Germany;XETRA + FRANKFURT;-
DE000A0N3EU3;CGX;CGRE AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT;-
DE0006618309;CHG;CHAPTERS Group AG;Software;IT-Services;Germany;XETRA + FRANKFURT;-
DE000A40KYB8;CORE;Coreo AG;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT;-
DE000A2GS625;CRZK;CR Energy AG;Financial Services;Real Estate;Germany;FRANKFURT;-
DE000A0JC8S7;D6H;DATAGROUP SE  INH. O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT ;-
DE000A1A6WE6;AJ91;DOCCHECK AG  NA;Software;Internet;Germany;XETRA + FRANKFURT;-
DE000A41YCR9;EFF;DT.EFF.U.WECH.-BET.G.O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT;-
DE0005649503;EDL;EDEL SE+CO.KGAA INH O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT ;-
DE000A0KFKH0;E8X;ELEXXION AG;Industrial;Advanced Industrial Equipment;Germany;FRANKFURT;-
DE000A0MVLS8;ETG;ENVITEC BIOGAS O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT;-
DE000A1X3WX6;ERWE;ERWE IMMOBILIEN AG INH O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT ;-
DE000A40ZVZ1;ENG;EV DIGITAL INVEST AG (ENGEL & VÖLKERS DIGITAL INVEST);Financial Services;Diversified Financial;Germany;FRANKFURT ;-
DE000A1PG508;FF24;FAST FINANCE24 HOLDING AG;Industrial;Industrial Products & Services;Germany;FRANKFURT;-
DE000A0LA361;"U1D
";FINCHAIN CAP.PART. JGE;Retail;Internet;Germany;FRANKFURT;-
DE000A3MQC96;"U1DA
";MOLOGEN Lifescience AG;Retail;Internet;Germany;FRANKFURT;-
DE0006069008;NLM;FROSTA AG AKT. O.N.;Food & Beverages;Food;Germany;FRANKFURT;-
DE000A3MQR99;INW;GBS SOFTWARE AG;Software;Software;Germany;XETRA + FRANKFURT;-
DE0001218063;A7A;HELIAD AG;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT ;-
DE0006061104;HMU;HMS BERGBAU AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT;-
DE0005297204;HG1;HOMAG GROUP AG;Industrial;Industrial Machinery;Germany;FRANKFURT;-
DE000A0LR4P1;H9W;HWA AG INH.O.N.;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT;-
DE000A161309;KSW;KST BETEILIGUNGS AG NA;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT;-
DE000A2DA406;LEH;Lampetia AG ;Industrial;Advanced Industrial Equipment;Germany;FRANKFURT;-
DE000LS1LUS9;LUS;LANG+SCHWARZ AG NA;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT;-
DE000A0STSQ8;M12;M1 KLINIKEN AG (M1 BEAUTY AG);Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT;-
DE0008131350;AMI;MEDONDO HOLDING AG;Software;IT-Services;Germany;XETRA + FRANKFURT;-
DE0006614035;MUT3;MINERALBR.UEBERK.-VZ-;Food & Beverages;Beverages;Germany;FRANKFURT;-
DE0006614001;MUT;MINERALBR.UEBERKINGEN AG;Food & Beverages;Beverages;Germany;FRANKFURT;-
DE0005218309;MBQ;MOBOTIX AG O.N.;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT;-
DE000A12UK08;ECF;MOUNTAIN ALLIANCE NA O.N;Retail;Retail, Internet;Germany;XETRA + FRANKFURT;-
DE000A289V03;93M;MPH HEALTH CARE AG (MPH MITT.PHARMA HLDG);Pharma & Healthcare;Pharmaceuticals;Germany;XETRA + FRANKFURT;-
DE0006627201;MUB;MUEHLBAUER HOLD.AG O.N.;Technology;Electronic Components & Hardware;Germany;XETRA + FRANKFURT;-
DE0006577109;NN6;NANOREPRO AG;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT;-
DE0006902000;PKB;PARK U.BELLHEIMER AG O.N.;Food & Beverages;Beverages;Germany;FRANKFURT;-
DE0007474041;PHH2;PAUL HARTMANN AG O.N.;Pharma & Healthcare;Pharmaceuticals;Germany;FRANKFURT;-
DE0005202303;QB7;QUIRIN BANK AG;Banks;Credit Banks;Germany;XETRA + FRANKFURT;-
