Companies in General Standard;;;;;;;;
;;;;;;;;
1.05.2026;;;;;;;;
;;;;;;;;
;;;;;;;;
Number of instruments:;102;;;;;;;
Number of companies: ;101;;;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index;
DE000A3H3L44;2INV;2INVEST AG  NA O.N.;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT ;-;
DE000A11QW68;HRPK;7C SOLARPARKEN AG  O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;-;
DE0006492903;LUM;A.I.S. AG;Industrial;Renewable Energies;Germany;FRANKFURT;-;
DE000A1TNNN5;ACWN;A.S.CREATION TAPETEN NA;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT ;-;
DE000A3H2101;AAQ1;AAP IMPLANTATE AG;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT ;-;
DE000A40ZVK3;A4Y0;ACCENTRO REAL ESTATE AG  O.N.;Financial Services;Real Estate;Germany;FRANKFURT ;-;
DE0005103006;ADV;ADTRAN NETWORKS SE O.N.;Technology;Communications Technology;Germany;XETRA + FRANKFURT ;SDAX;
DE0005009740;AHH;AHLERS AG NA O.N.;Consumer;Clothing & Footwear;Germany;FRANKFURT;-;
DE0006569403;ALG;ALBIS LEASING AG O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE000A2GS633;AEIN;ALLGEIER SE  NA O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT ;-;
DE000A41YD99;AMA;ALTECH ADVANCED MATERIALS NA O.N.;Basic resources ;Forest & Paper Products;Germany;FRANKFURT ;-;
DE0001262152;DTD2;B+S BANKSYSTEME AG O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE0005201602;BEZ;BERENTZEN-GRUPPE AG;Food & Beverages;Beverages;Germany;XETRA + FRANKFURT ;-;
LU2859870326;B1GR;BigRep SE;Industrial;Advanced Industrial Equipment;Luxembourg;FRANKFURT;-;
DE0005229504;BIJ;BIJOU BRIGITTE O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT ;-;
DE000HNC2059;RTML;CAMERIT AG;Financial Services;Diversified Financial;Germany;FRANKFURT;-;
DE000A2G9M17;CPX;CAPSENSIXX AG  INH O.N.;Financial Services;Diversified Financial;Germany;FRANKFURT;-;
DE000A2QDNX9;C0M;CCS ABWICKLUNGS AG;Industrial;Advanced Industrial Equipment ;Germany;FRANKFURT;-;
DE000A3E5C08;CNW;CO.DON AG   INH. O.N.;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT;-;
LU1296758029;CCAP;CORESTATE CAPITAL HLDG;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT ;-;
LU0251710041;O5G;CPI PROPERTY GRP   EO-,10;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT ;-;
DE000A2LQUA5;CSQ;CREDITSHELF AG  IA O.N.;Financial Services;Diversified Financial;Germany;FRANKFURT ;-;
DE0008055021;DRE2;DEUTSCHE REAL ESTATE AG O.N.;Financial Services;Real Estate;Germany;FRANKFURT;-;
DE000A0HN5C6;DWNI;DEUTSCHE WOHNEN SE INH;Financial Services;Real Estate;Germany;XETRA + FRANKFURT ;-;
DE000A2AA204;DFTK;DF DEUTSCHE FORFAIT AG  NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE0005580005;DIE;DIERIG HOLDING AG O.N.;Consumer;Clothing & Footwear ;Germany;XETRA + FRANKFURT ;-;
DE0005658009;EIS;EISEN- UND HUETTENWERKE;Basic Resources;Steel & Other Metals;Germany;FRANKFURT;-;
DE000A255G02;H2O;ENAPTER AG INH O.N. ;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;-;
DE0005220008;EBK;ENBW ENERGIE BADEN-WUERTTEMBERG ON;Utilities;Electricity;Germany;XETRA + FRANKFURT ;-;
DE0005313506;EKT;ENERGIEKONTOR O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;SDAX;
DE000A37FT41;ECX;EPIGENOMICS AG NA O.N.;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT ;-;
DE000A0MW975;FVI;FAIR VALUE REIT-AG INH.ON;Financial Services;Real Estate;Germany;FRANKFURT;-;
DE000A1YC913;FC9;FCR IMMOBILIEN AG NA O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT ;-;
DE0005775803;FRS;FORIS AG;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
ATFREQUENT09;FQT;FREQUENTIS AG;Technology;Communications Technology;Austria;XETRA + FRANKFURT ;-;
DE0006201106;CEA;FRIWO AG O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT ;-;
DE0007760001;WWG;GELSENWASSER AG;Utilities;Multi-Utilities;Germany;FRANKFURT;-;
DE0005156004;GGS;GIGASET AG O.N.;Technology;Communications Technology ;Germany;FRANKFURT;-;
DE000A254294;IPOK;HEIDELBERGER BETEILIGUNGSHOLDING  O.N.;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
DE0006097108;IFS;INFAS HOLDING AG  O.N.;Industrial;Industrial Products & Services;Germany;FRANKFURT;-;
DE0006223605;ITN;INTERTAINMENT AG INH O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT ;-;
CH0451424300;IQL;IQ INTERNATIONAL AG         SF-,01;Automobile;Auto Parts & Equipment;Switzerland;FRANKFURT;-;
DE0006208408;IUR;KAP AG  INH O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT ;-;
DE0006578008;KWG;KHD HUMBOLDT WEDAG O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT ;-;
DE000A1X3WW8;HETA;KHD HUMBOLDT WEDAG VV NA O.N.;Industrial;Industrial Machinery;Germany;FRANKFURT;-;
DE000A1A6V48;KSC;KPS AG NA O.N.;Software;IT-Services ;Germany;XETRA + FRANKFURT ;-;
LU2358378979;LRND;LEARND SE;Software;IT-Services;Luxembourg;XETRA + FRANKFURT ;-;
DE0005490601;LEOW;Leo International Precision Health AG;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT;-;
DE000A161N22;TUF;LIBERO FOOTBALL FINANCE AG;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
DE0005754402;LSX;LS TELCOM AG;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE0006553464;MNV6;MAINOVA AG O.N.;Utilities;Multi-Utilities;Germany;FRANKFURT;-;
