Ticker,Trg
ACWN.DE,XETRA (Nemčija)
ADV.DE,XETRA (Nemčija)
AEIN.DE,XETRA (Nemčija)
ALG.DE,XETRA (Nemčija)
BEZ.DE,XETRA (Nemčija)
BIJ.DE,XETRA (Nemčija)
CEA.DE,XETRA (Nemčija)
CRIN.DE,XETRA (Nemčija)
DIE.DE,XETRA (Nemčija)
DTD2.DE,XETRA (Nemčija)
DWNI.DE,XETRA (Nemčija)
EBK.DE,XETRA (Nemčija)
EKT.DE,XETRA (Nemčija)
EMH.DE,XETRA (Nemčija)
FC9.DE,XETRA (Nemčija)
FQT.DE,XETRA (Nemčija)
FRS.DE,XETRA (Nemčija)
IPOK.DE,XETRA (Nemčija)
LRND.DE,XETRA (Nemčija)
LSX.DE,XETRA (Nemčija)
M3V.DE,XETRA (Nemčija)
MLL.DE,XETRA (Nemčija)
MXHN.DE,XETRA (Nemčija)
NWX.DE,XETRA (Nemčija)
OBS.DE,XETRA (Nemčija)
P4O.DE,XETRA (Nemčija)
PAH3.DE,XETRA (Nemčija)
PFV.DE,XETRA (Nemčija)
SF3.DE,XETRA (Nemčija)
SNG.DE,XETRA (Nemčija)
STO3.DE,XETRA (Nemčija)
SWA.DE,XETRA (Nemčija)
UZU.DE,XETRA (Nemčija)
WOLF.DE,XETRA (Nemčija)
