Ticker,Trg
2GB.DE,XETRA (Nemčija)
ABX.DE,XETRA (Nemčija)
A6T.DE,XETRA (Nemčija)
B7E.DE,XETRA (Nemčija)
HIGH.DE,XETRA (Nemčija)
CLIQ.DE,XETRA (Nemčija)
4DS.DE,XETRA (Nemčija)
DAR.DE,XETRA (Nemčija)
DLX.DE,XETRA (Nemčija)
DR0.DE,XETRA (Nemčija)
HXCK.DE,XETRA (Nemčija)
EXL.DE,XETRA (Nemčija)
XK4.DE,XETRA (Nemčija)
GME.DE,XETRA (Nemčija)
IBU.DE,XETRA (Nemčija)
1INN.DE,XETRA (Nemčija)
JDC.DE,XETRA (Nemčija)
LQAG.DE,XETRA (Nemčija)
MUM.DE,XETRA (Nemčija)
MPCK.DE,XETRA (Nemčija)
C1V0.DE,XETRA (Nemčija)
NTG.DE,XETRA (Nemčija)
NUVA.DE,XETRA (Nemčija)
NBG6.DE,XETRA (Nemčija)
M7U.DE,XETRA (Nemčija)
VVV3.DE,XETRA (Nemčija)
PAL.DE,XETRA (Nemčija)
PFSE.DE,XETRA (Nemčija)
VEZ.DE,XETRA (Nemčija)
M3B.DE,XETRA (Nemčija)
PYR.DE,XETRA (Nemčija)
H68.DE,XETRA (Nemčija)
PZS.DE,XETRA (Nemčija)
4X0�.DE,XETRA (Nemčija)
81D.DE,XETRA (Nemčija)
PGH.DE,XETRA (Nemčija)
TPG.DE,XETRA (Nemčija)
TIW.DE,XETRA (Nemčija)
UBK.DE,XETRA (Nemčija)
CSH.DE,XETRA (Nemčija)
3SQ1.DE,XETRA (Nemčija)
CFC.DE,XETRA (Nemčija)
ADC.DE,XETRA (Nemčija)
OEL.DE,XETRA (Nemčija)
VG80.DE,XETRA (Nemčija)
3ITN.DE,XETRA (Nemčija)
BFV.DE,XETRA (Nemčija)
SPT6.DE,XETRA (Nemčija)
MA1.DE,XETRA (Nemčija)
T5O.DE,XETRA (Nemčija)
CTNK.DE,XETRA (Nemčija)
CEK.DE,XETRA (Nemčija)
CGX.DE,XETRA (Nemčija)
CHG.DE,XETRA (Nemčija)
CORE.DE,XETRA (Nemčija)
CRZK.DE,XETRA (Nemčija)
D6H.DE,XETRA (Nemčija)
AJ91.DE,XETRA (Nemčija)
EFF.DE,XETRA (Nemčija)
EDL.DE,XETRA (Nemčija)
E8X.DE,XETRA (Nemčija)
ETG.DE,XETRA (Nemčija)
ERWE.DE,XETRA (Nemčija)
ENG.DE,XETRA (Nemčija)
FF24.DE,XETRA (Nemčija)
"""U1D.DE",XETRA (Nemčija)
FINCHAIN CAP.PART. JGE.DE,XETRA (Nemčija)
"""U1DA.DE",XETRA (Nemčija)
MOLOGEN Lifescience AG.DE,XETRA (Nemčija)
NLM.DE,XETRA (Nemčija)
INW.DE,XETRA (Nemčija)
A7A.DE,XETRA (Nemčija)
HMU.DE,XETRA (Nemčija)
HG1.DE,XETRA (Nemčija)
H9W.DE,XETRA (Nemčija)
KSW.DE,XETRA (Nemčija)
LEH.DE,XETRA (Nemčija)
LUS.DE,XETRA (Nemčija)
M12.DE,XETRA (Nemčija)
AMI.DE,XETRA (Nemčija)
MUT3.DE,XETRA (Nemčija)
MUT.DE,XETRA (Nemčija)
MBQ.DE,XETRA (Nemčija)
ECF.DE,XETRA (Nemčija)
93M.DE,XETRA (Nemčija)
MUB.DE,XETRA (Nemčija)
NN6.DE,XETRA (Nemčija)
PKB.DE,XETRA (Nemčija)
PHH2.DE,XETRA (Nemčija)
QB7.DE,XETRA (Nemčija)
RCMN.DE,XETRA (Nemčija)
RGB.DE,XETRA (Nemčija)
SMB.DE,XETRA (Nemčija)
T3T.DE,XETRA (Nemčija)
SVE.DE,XETRA (Nemčija)
SMWN.DE,XETRA (Nemčija)
SB1.DE,XETRA (Nemčija)
ST5.DE,XETRA (Nemčija)
N4G.DE,XETRA (Nemčija)
TR61.DE,XETRA (Nemčija)
T2G.DE,XETRA (Nemčija)
UMD.DE,XETRA (Nemčija)
CYR.DE,XETRA (Nemčija)
2INV.DE,XETRA (Nemčija)
HRPK.DE,XETRA (Nemčija)
LUM.DE,XETRA (Nemčija)
ACWN.DE,XETRA (Nemčija)
AAQ1.DE,XETRA (Nemčija)
A4Y0.DE,XETRA (Nemčija)
ADV.DE,XETRA (Nemčija)
AHH.DE,XETRA (Nemčija)
ALG.DE,XETRA (Nemčija)
AEIN.DE,XETRA (Nemčija)
AMA.DE,XETRA (Nemčija)
DTD2.DE,XETRA (Nemčija)
